brand,model,option_name,mention_count,total_mentions,mention_rate,keywords,source_note
기아,쏘렌토,드라이브 와이즈,42,120,35.0,안전;장거리;가족;고속도로,온라인 반응 샘플
기아,쏘렌토,서라운드 뷰 모니터,31,120,25.8,주차;초보운전;SUV;좁은길,온라인 반응 샘플
기아,쏘렌토,스마트 파워 테일게이트,18,120,15.0,짐적재;패밀리;캠핑;편의,온라인 반응 샘플
테슬라,Model Y,오토파일럿 기본 기능,55,140,39.3,오토파일럿;전기차;고속도로;주행보조,온라인 반응 샘플
테슬라,Model Y,전기차 충전/전비 관리,38,140,27.1,충전;전비;유지비;출퇴근,온라인 반응 샘플
테슬라,Model Y,넓은 적재공간,24,140,17.1,패밀리;트렁크;SUV;캠핑,온라인 반응 샘플
현대,그랜저,현대 스마트센스,36,110,32.7,안전;임원차;주행보조;법인,온라인 반응 샘플
현대,그랜저,헤드업 디스플레이,28,110,25.5,HUD;고급감;장거리;시인성,온라인 반응 샘플
현대,그랜저,고급 시트/승차감 옵션,22,110,20.0,승차감;통풍시트;의전;고급,온라인 반응 샘플
현대,쏘나타 디 엣지,스마트센스,30,95,31.6,안전;출퇴근;중형세단;가성비,온라인 반응 샘플
현대,쏘나타 디 엣지,파노라믹 디스플레이,24,95,25.3,실내;디스플레이;신형감;디자인,온라인 반응 샘플
현대,쏘나타 디 엣지,통풍/열선 시트,18,95,18.9,통풍시트;열선;실속;만족도,온라인 반응 샘플
기아,스포티지,드라이브 와이즈,34,105,32.4,안전;SUV;장거리;주행보조,온라인 반응 샘플
기아,스포티지,서라운드 뷰 모니터,29,105,27.6,주차;SUV;초보운전;어라운드뷰,온라인 반응 샘플
기아,스포티지,전동식 트렁크/컴포트 옵션,17,105,16.2,트렁크;레저;패밀리;편의,온라인 반응 샘플
기아,카니발,스마트 파워 슬라이딩 도어,48,130,36.9,패밀리;승하차;슬라이딩도어;아이,온라인 반응 샘플
기아,카니발,후석 편의/릴렉션 시트,41,130,31.5,2열;릴렉션;의전;패밀리,온라인 반응 샘플
기아,카니발,후석 모니터/엔터테인먼트,22,130,16.9,아이;장거리;후석;엔터테인먼트,온라인 반응 샘플
현대,아반떼,현대 스마트센스,27,90,30.0,안전;첫차;출퇴근;가성비,온라인 반응 샘플
현대,아반떼,내비게이션/디지털 클러스터,21,90,23.3,실내;디스플레이;편의;첫차,온라인 반응 샘플
현대,아반떼,통풍/열선 시트,19,90,21.1,통풍시트;열선;실속;만족도,온라인 반응 샘플
현대,포터 II,적재함/업무 활용성,38,88,43.2,업무용;소상공인;적재;현장,온라인 반응 샘플
현대,포터 II,후방 카메라/주차 보조,24,88,27.3,후진;주차;사고예방;현장,온라인 반응 샘플
현대,포터 II,운전자 편의 사양,16,88,18.2,장시간운전;배송;피로도;편의,온라인 반응 샘플
현대,투싼,현대 스마트센스,32,100,32.0,안전;SUV;패밀리;출퇴근,온라인 반응 샘플
현대,투싼,서라운드 뷰 모니터,26,100,26.0,주차;어라운드뷰;초보운전;SUV,온라인 반응 샘플
현대,투싼,파노라마 선루프/실내 개방감,18,100,18.0,선루프;개방감;레저;가족,온라인 반응 샘플
현대,싼타페,현대 스마트센스,35,115,30.4,안전;패밀리;장거리;SUV,온라인 반응 샘플
현대,싼타페,6/7인승 시트 구성,31,115,27.0,패밀리;다자녀;좌석;레저,온라인 반응 샘플
현대,싼타페,전동 트렁크/캠핑 편의,23,115,20.0,캠핑;트렁크;여행;차박,온라인 반응 샘플